PEEQ,CT1
1.79,3.0000888515549438
1.8,3.000074580600963
1.81,3.0000610463164152
1.82,3.0000490386544
1.83,3.000038824009312
1.84,3.0000303825630183
1.85,3.000023552480408
1.86,3.000018114586204
1.87,3.000013839776209
1.88,3.000010513629895
1.89,3.0000079474739714
1.9,3.0000059817085294
1.91,3.000004484974799
1.92,3.0000033513141484
1.93,3.00000249656652
1.94,3.000001854697922
1.95,3.0000013744078124
1.96,3.0000010161677686
1.97,3.000000749730037
1.98,3.000000552084934
1.99,3.0000004058180294
2.0,3.0000002978082616
2.01,3.0000002182082985
2.02,3.0000001596535637
2.03,3.000000116653517
2.04,3.0000000851263247
2.05,3.0000000620451988
2.06,3.0000000451709314
2.07,3.0000000328505076
2.08,3.000000023866045
2.09,3.0000000173218875
2.1,3.0000000125604585
2.11,3.000000009099734
2.12,3.000000006586894
2.13,3.0000000047640465
2.14,3.0000000034429277
2.15,3.0000000024862707
2.16,3.000000001794108
2.17,3.000000001293715
2.18,3.0000000009322405
2.19,3.0000000006713123
2.2,3.0000000004830993
2.21,3.0000000003474327
2.22,3.0000000002497083
2.23,3.000000000179362
2.24,3.000000000128756
2.25,3.000000000092373
2.26,3.0000000000662332
2.27,3.0000000000474634
2.28,3.0000000000339937
2.29,3.000000000024333
2.3,3.000000000017408
2.31,3.0000000000124474
2.32,3.000000000008895
2.33,3.000000000006353
2.34,3.000000000004535
2.35,3.0000000000032356
2.36,3.0000000000023075
2.37,3.0000000000016445
2.38,3.0000000000011715
2.39,3.0000000000008336
2.4,3.0000000000005937
2.41,3.000000000000422
2.42,3.0000000000002998
2.43,3.000000000000213
2.44,3.0000000000001514
2.45,3.000000000000107
2.46,3.000000000000076
2.47,3.0000000000000537
2.48,3.000000000000038
2.49,3.0000000000000266
2.5,3.0000000000000195
2.51,3.0000000000000133
2.52,3.0000000000000093
2.53,3.0000000000000067
2.54,3.000000000000005
2.55,3.0000000000000036
2.56,3.000000000000002
2.57,3.0000000000000018
2.58,3.000000000000001
2.59,3.000000000000001
2.6,3.0000000000000004
2.61,3.0000000000000004
2.62,3.0
2.63,3.0
2.64,3.0
2.65,3.0
2.66,3.0
2.67,3.0000000000000004
2.68,3.0
2.69,3.0
2.7,3.0
2.71,3.0
2.72,3.0
2.73,3.0
2.74,3.0
2.75,3.0
2.76,3.0
2.77,3.0
2.78,3.0
2.79,3.0
2.8,3.0
2.81,3.0
2.82,3.0
2.83,3.0
2.84,3.0
2.85,3.0
2.86,3.0
2.87,3.0
2.88,3.0
2.89,3.0
2.9,3.0
2.91,3.0
2.92,3.0
2.93,3.0
2.94,3.0
2.95,3.0
2.96,3.0
2.97,3.0
2.98,3.0
2.99,3.0
3.0,3.0
